nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
Japan,Ground_vehicles,2025-01-18,7.3 ~ 8.3,7.3,4710.0,698.8554847841472,0.6015066878980891,0.1079957537154989,0.1079787685774947,0.1037034454668457,0.2896793325738154,0.6042857694069048,0.2670364003260889
Japan,Ground_vehicles,2025-01-06,4.0 ~ 5.0,4.0,1673.0,315.486551105798,0.6754932456664673,0.1613269575612671,0.0540645546921697,0.208401769422878,0.5131657630641567,0.624420669018978,0.4851730232024682
France,Ground_vehicles,2025-03-13,3.3 ~ 4.3,3.3,1128.0,126.21542553191487,0.6459773936170212,0.0059574468085106,0.0039095744680851,0.2401184924903881,0.529659698129627,0.6353567119547171,0.4822729890927855
Britain,Ground_vehicles,2025-02-05,7.3 ~ 8.3,7.3,14166.0,668.7896528464086,0.6236084286319357,0.0680361428773118,0.0537879429620217,0.1268748597849895,0.333392163233405,0.6049509683108645,0.3191266756054625
Italy,Ground_vehicles,2025-01-09,6.7 ~ 7.7,6.7,2833.0,322.3273914578185,0.5783300388280974,0.0055488881044828,0.0036992587363219,0.0898216263771429,0.2195301651845637,0.5920860900874915,0.2112547870017343
Japan,Ground_vehicles,2025-03-25,4.3 ~ 5.3,4.3,2146.0,514.0978564771668,0.6279885368126747,0.1503681267474371,0.12571761416589,0.2010127355740858,0.4126519691143269,0.6325234414273815,0.3992761244200867
China,Ground_vehicles,2025-01-03,6.0 ~ 7.0,6.0,2211.0,228.62213176541536,0.6186704658525554,0.0691451831750339,0.0480958842152871,0.1565767108003208,0.340048843753367,0.6562314454567227,0.3361868202154402
Israel,Ground_vehicles,2025-02-20,5.3 ~ 6.3,5.3,2583.0,816.2688088785651,0.6054187379016647,0.0,0.0005497483546264,0.2380954451856799,0.2780220928616618,0.6327244112840444,0.3565716613182609
Sweden,Ground_vehicles,2025-02-02,4.7 ~ 5.7,4.7,2452.0,364.0291598694943,0.5251461256117456,0.0355301794453507,0.0344535073409461,0.1342367830940858,0.3379203957569864,0.5029033839371853,0.2270753149394831
Israel,Ground_vehicles,2025-01-12,7.0 ~ 8.0,7.0,2416.0,186.2736042126564,0.4260537251655629,0.0380422185430463,0.0429594370860927,0.0985628223195677,0.187024325208906,0.4425022437250825,0.0539756651249606
